,age,team_id,lg_id,pos,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,DUMMY,trp_dbl
season2014-15,20,LAL,NBA,PF,1,0,14,1,3,.333,0,0,,1,3,.333,.333,0,2,.000,0,0,0,0,0,0,1,1,2,,0
season2015-16,21,LAL,NBA,PF,81,60,2286,358,835,.429,10,36,.278,348,799,.436,.435,193,270,.715,172,657,829,144,53,29,149,242,919,,1
season2016-17,22,LAL,NBA,PF,74,73,2132,377,773,.488,17,63,.270,360,710,.507,.499,204,282,.723,150,486,636,264,49,37,173,248,975,,3
season2017-18,23,LAL,NBA,C,82,49,2190,504,904,.558,10,45,.222,494,859,.575,.563,305,425,.718,181,473,654,210,43,45,213,274,1323,,1
season2018-19,24,NOP,NBA,PF,73,49,2232,571,1089,.524,67,195,.344,504,894,.564,.555,356,487,.731,162,472,634,229,52,45,208,246,1565,,1
season2019-20,25,NYK,NBA,PF,64,64,2080,463,1006,.460,64,231,.277,399,775,.515,.492,258,352,.733,151,471,622,198,51,22,193,178,1248,,0
season2020-21,26,NYK,NBA,PF,23,23,845,182,383,.475,36,91,.396,146,292,.500,.522,120,149,.805,33,218,251,138,19,4,78,77,520,,1
career,20,LAL,NBA,PF,1,0,14,1,3,.333,0,0,,1,3,.333,.333,0,2,.000,0,0,0,0,0,0,1,1,2,,0
4season,21,LAL,NBA,PF,81,60,2286,358,835,.429,10,36,.278,348,799,.436,.435,193,270,.715,172,657,829,144,53,29,149,242,919,,1
2season,22,LAL,NBA,PF,74,73,2132,377,773,.488,17,63,.270,360,710,.507,.499,204,282,.723,150,486,636,264,49,37,173,248,975,,3
1season,23,LAL,NBA,C,82,49,2190,504,904,.558,10,45,.222,494,859,.575,.563,305,425,.718,181,473,654,210,43,45,213,274,1323,,1
