,age,team_id,lg_id,pos,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
season2014-15,20,LAL,NBA,PF,1,0,14.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
season2015-16,21,LAL,NBA,PF,81,60,28.2,4.4,10.3,.429,0.1,0.4,.278,4.3,9.9,.436,.435,2.4,3.3,.715,2.1,8.1,10.2,1.8,0.7,0.4,1.8,3.0,11.3
season2016-17,22,LAL,NBA,PF,74,73,28.8,5.1,10.4,.488,0.2,0.9,.270,4.9,9.6,.507,.499,2.8,3.8,.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2
season2017-18,23,LAL,NBA,C,82,49,26.7,6.1,11.0,.558,0.1,0.5,.222,6.0,10.5,.575,.563,3.7,5.2,.718,2.2,5.8,8.0,2.6,0.5,0.5,2.6,3.3,16.1
season2018-19,24,NOP,NBA,PF,73,49,30.6,7.8,14.9,.524,0.9,2.7,.344,6.9,12.2,.564,.555,4.9,6.7,.731,2.2,6.5,8.7,3.1,0.7,0.6,2.8,3.4,21.4
season2019-20,25,NYK,NBA,PF,64,64,32.5,7.2,15.7,.460,1.0,3.6,.277,6.2,12.1,.515,.492,4.0,5.5,.733,2.4,7.4,9.7,3.1,0.8,0.3,3.0,2.8,19.5
season2020-21,26,NYK,NBA,PF,26,26,36.8,7.8,16.7,.467,1.6,4.2,.382,6.2,12.5,.495,.515,5.1,6.3,.800,1.4,9.5,10.9,5.8,0.8,0.2,3.3,3.3,22.3
career,,,NBA,,401,321,29.7,6.2,12.6,.491,0.5,1.7,.309,5.7,10.9,.519,.512,3.6,4.9,.730,2.1,7.0,9.1,3.0,0.7,0.5,2.5,3.2,16.5
4season,,LAL,NBA,,238,182,27.8,5.2,10.6,.493,0.2,0.6,.257,5.1,10.0,.507,.500,2.9,4.1,.717,2.1,6.8,8.9,2.6,0.6,0.5,2.3,3.2,13.5
2season,,NYK,NBA,,90,90,33.8,7.4,16.0,.462,1.2,3.8,.311,6.2,12.2,.509,.499,4.3,5.7,.754,2.1,8.0,10.1,3.9,0.8,0.3,3.1,2.9,20.3
1season,,NOP,NBA,,73,49,30.6,7.8,14.9,.524,0.9,2.7,.344,6.9,12.2,.564,.555,4.9,6.7,.731,2.2,6.5,8.7,3.1,0.7,0.6,2.8,3.4,21.4
